City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
3,Jamestown,US,77.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Ponta Do Sol,PT,72.72,broken clouds,32.6667,-17.1,Hotel do Campo
11,Pacific Grove,US,84.38,clear sky,36.6177,-121.9166,Lovers Point Inn
15,Atuona,PF,77.18,scattered clouds,-9.8,-139.0333,Villa Enata
16,Hithadhoo,MV,81.57,moderate rain,-0.6,73.0833,Scoop Guest House
19,Kutum,SD,75.76,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
22,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
23,Itapage,BR,76.98,overcast clouds,-3.6867,-39.5861,Pousada Itajavé
24,Aloleng,PH,80.1,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
25,Rikitea,PF,73.02,broken clouds,-23.1203,-134.9692,People ThankYou
30,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
32,Murgab,TM,75.07,clear sky,37.4966,61.9714,Wepa Nurlyýew
33,Kaputa,ZM,71.06,clear sky,-8.4689,29.6619,Chelelwa Charlets
34,Sao Filipe,CV,78.57,few clouds,14.8961,-24.4956,Hotel Xaguate
35,Bengkulu,ID,76.12,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Fare,PF,78.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
41,Maindargi,IN,73.96,broken clouds,17.4667,76.3,Raj dhaba
42,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Sinnar,SD,74.48,overcast clouds,13.5691,33.5672,بساتين سالمة
49,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
53,Kudahuvadhoo,MV,80.96,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
54,Guerrero Negro,MX,83.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
55,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
57,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
64,Lagoa,PT,73.74,light rain,39.05,-27.9833,Casa Das Faias
65,Moussoro,TD,84.67,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
72,Koungou,YT,71.31,clear sky,-12.7336,45.2042,Villa Netibor
74,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
76,Padang,ID,78.8,broken clouds,-0.9492,100.3543,Mercure Padang
78,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
79,Bose,IT,74.79,broken clouds,45.4612,8.0137,Locanda Borgo Antico
82,Payo,ID,73.8,broken clouds,-3.7508,103.6372,Mess keban agung
85,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
87,La Ronge,CA,84.42,few clouds,55.1001,-105.2842,Northland Motor Hotel
88,Sioux Lookout,CA,71.67,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
98,Bahia Honda,CU,84.24,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
99,Tual,ID,80.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
102,Atambua,ID,70.93,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
106,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
113,Kavaratti,IN,80.96,scattered clouds,10.5669,72.642,Green leaf
116,Tabou,CI,76.44,overcast clouds,4.423,-7.3528,hotêl doufoulougou
117,Chandbali,IN,77.18,overcast clouds,20.7833,86.7667,Sabitri Bhavan
122,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
124,Dicabisagan,PH,77.43,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
126,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
128,Aksu,CN,81.21,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
131,Smithers,CA,79.12,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
134,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
135,Shellbrook,CA,74.43,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
139,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
141,Qrendi,MT,78.12,few clouds,35.8347,14.4583,M'Anglu
142,Faanui,PF,78.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Gizo,SB,81.0,light rain,-8.103,156.8419,Imagination Island
147,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
149,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
151,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
152,Barreirinhas,BR,78.93,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
153,Dongsheng,CN,71.37,clear sky,39.8161,109.9776,Crowne Plaza Ordos
157,Lar,IN,82.15,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
158,Corinto,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
159,Gijon,ES,73.26,clear sky,43.5357,-5.6615,Hotel Norte
161,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
162,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
170,Vincennes,FR,82.69,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
175,Kosonsoy,UZ,70.36,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
176,Acu,BR,82.02,broken clouds,-5.5767,-36.9086,Hotel Oásis
181,Kushmurun,KZ,71.55,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
184,Lompoc,US,82.54,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
186,Cockburn Town,TC,81.99,few clouds,21.4612,-71.1419,Osprey Beach Hotel
188,Jega,NG,74.34,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
190,Upata,VE,79.59,broken clouds,8.0086,-62.3989,Posada Villa Nela
196,Shingu,JP,78.71,overcast clouds,33.7333,135.9833,Shingu UI Hotel
197,Saint-Francois,FR,76.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
