City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.79,76,100,13.44,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,62.44,82,89,6.44,overcast clouds
2,Kapaa,US,22.0752,-159.319,82.38,72,20,16.11,few clouds
3,Jamestown,US,42.097,-79.2353,77.05,44,0,11.5,clear sky
4,Bethel,US,41.3712,-73.414,88.81,44,0,8.05,clear sky
5,Ushuaia,AR,-54.8,-68.3,38.82,87,75,4.61,broken clouds
6,Krasnoye,UA,49.9145,24.6134,58.35,87,33,4.94,scattered clouds
7,Barrow,US,71.2906,-156.7887,44.62,93,100,21.85,mist
8,Talnakh,RU,69.4865,88.3972,45.21,69,93,3.87,overcast clouds
9,Cuamba,MZ,-14.8031,36.5372,69.12,43,51,2.75,broken clouds
10,Ponta Do Sol,PT,32.6667,-17.1,72.72,73,61,3.22,broken clouds
11,Pacific Grove,US,36.6177,-121.9166,84.38,73,0,13.8,clear sky
12,Mataura,NZ,-46.1927,168.8643,32.58,84,20,2.68,few clouds
13,Port Hardy,CA,50.6996,-127.4199,62.78,94,75,4.61,broken clouds
14,Coihaique,CL,-45.5752,-72.0662,48.15,61,75,4.61,broken clouds
15,Atuona,PF,-9.8,-139.0333,77.18,68,40,25.52,scattered clouds
16,Hithadhoo,MV,-0.6,73.0833,81.57,75,5,6.98,moderate rain
17,Ilulissat,GL,69.2167,-51.1,36.97,94,100,1.41,overcast clouds
18,Nikolskoye,RU,59.7035,30.7861,66.09,71,100,6.46,overcast clouds
19,Kutum,SD,14.2,24.6667,75.76,62,88,5.82,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,59.88,75,75,14.97,broken clouds
21,Sorsk,RU,54.0033,90.2467,56.03,86,94,4.92,overcast clouds
22,Nouadhibou,MR,20.931,-17.0347,73.38,78,4,23.02,clear sky
23,Itapage,BR,-3.6867,-39.5861,76.98,62,87,7.4,overcast clouds
24,Aloleng,PH,16.1307,119.7824,80.1,81,100,2.62,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,73.02,71,69,21.72,broken clouds
26,Rio Gallegos,AR,-51.6226,-69.2181,41.05,70,40,8.05,scattered clouds
27,Khatanga,RU,71.9667,102.5,44.64,67,100,6.53,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,35.76,84,26,2.1,scattered clouds
29,Busselton,AU,-33.65,115.3333,49.33,89,2,10.71,clear sky
30,Butaritari,KI,3.0707,172.7902,81.97,74,99,12.95,overcast clouds
31,Bluff,NZ,-46.6,168.3333,39.52,83,99,10.2,overcast clouds
32,Murgab,TM,37.4966,61.9714,75.07,43,0,6.91,clear sky
33,Kaputa,ZM,-8.4689,29.6619,71.06,46,9,1.19,clear sky
34,Sao Filipe,CV,14.8961,-24.4956,78.57,78,17,13.56,few clouds
35,Bengkulu,ID,-3.8004,102.2655,76.12,91,43,3.6,scattered clouds
36,Areka,ET,7.0667,37.7,60.12,95,100,1.19,light rain
37,Punta Arenas,CL,-53.15,-70.9167,39.31,65,40,11.5,scattered clouds
38,Fare,PF,-16.7,-151.0167,78.3,75,0,14.56,clear sky
39,Yulara,AU,-25.2406,130.9889,44.8,50,0,8.19,clear sky
40,Anadyr,RU,64.75,177.4833,57.7,82,75,6.71,broken clouds
41,Maindargi,IN,17.4667,76.3,73.96,84,73,13.91,broken clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,78.76,96,100,8.99,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,17.27,broken clouds
44,Albany,US,42.6001,-73.9662,83.44,51,94,1.01,overcast clouds
45,Leningradskiy,RU,69.3833,178.4167,48.96,77,98,2.1,overcast clouds
46,Balkanabat,TM,39.5108,54.3671,85.77,20,0,11.59,clear sky
47,Sinnar,SD,13.5691,33.5672,74.48,85,95,11.16,overcast clouds
48,Dikson,RU,73.5069,80.5464,44.35,95,100,20.67,overcast clouds
49,Thompson,CA,55.7435,-97.8558,78.96,47,40,12.66,scattered clouds
50,Salobrena,ES,36.7428,-3.5872,90.46,76,18,4.03,few clouds
51,Carnarvon,AU,-24.8667,113.6333,59.29,34,0,15.28,clear sky
52,Hilo,US,19.7297,-155.09,90.28,83,100,3.44,overcast clouds
53,Kudahuvadhoo,MV,2.6708,72.8944,80.96,78,24,6.96,few clouds
54,Guerrero Negro,MX,27.9769,-114.0611,83.07,46,1,15.73,clear sky
55,Naze,JP,28.3667,129.4833,79.72,82,100,5.77,overcast clouds
56,Severo-Kurilsk,RU,50.6789,156.125,56.05,96,96,12.71,overcast clouds
57,Talara,PE,-4.5772,-81.2719,74.16,64,0,14.97,clear sky
58,Kodiak,US,57.79,-152.4072,54.91,94,100,8.05,mist
59,Lavrentiya,RU,65.5833,-171.0,44.04,90,79,6.04,broken clouds
60,San Cristobal,VE,7.7669,-72.225,89.78,49,77,7.58,broken clouds
61,Evensk,RU,61.95,159.2333,53.01,98,100,5.44,overcast clouds
62,Yellowknife,CA,62.456,-114.3525,64.92,36,20,13.8,few clouds
63,Ayr,GB,55.4627,-4.6339,66.31,72,0,2.3,clear sky
64,Lagoa,PT,39.05,-27.9833,73.74,82,98,13.47,light rain
65,Moussoro,TD,13.6408,16.4901,84.67,58,100,14.9,light rain
66,Bograd,RU,54.2344,90.8328,59.23,80,97,4.81,overcast clouds
67,Baruun-Urt,MN,46.6806,113.2792,60.3,58,100,9.64,overcast clouds
68,Hobart,AU,-42.8794,147.3294,43.05,91,0,4.61,clear sky
69,Pevek,RU,69.7008,170.3133,36.52,91,88,5.64,overcast clouds
70,Cidreira,BR,-30.1811,-50.2056,59.36,85,1,7.2,clear sky
71,Taoudenni,ML,22.6783,-3.9836,103.57,9,0,3.53,clear sky
72,Koungou,YT,-12.7336,45.2042,71.31,78,0,2.3,clear sky
73,Andrews,US,32.3187,-102.5457,93.27,32,40,8.05,scattered clouds
74,Vaini,TO,-21.2,-175.2,75.36,83,75,10.36,broken clouds
75,Chuy,UY,-33.6971,-53.4616,53.53,84,6,4.97,clear sky
76,Padang,ID,-0.9492,100.3543,78.8,88,81,2.13,broken clouds
77,Saint George,US,37.1041,-113.5841,96.44,34,0,4.0,clear sky
78,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,mist
79,Bose,IT,45.4612,8.0137,74.79,60,70,5.39,broken clouds
80,Castro,BR,-24.7911,-50.0119,50.41,68,0,4.61,clear sky
81,Matay,EG,28.419,30.7792,86.32,25,0,7.81,clear sky
82,Payo,ID,-3.7508,103.6372,73.8,91,76,1.88,broken clouds
83,Torbay,CA,47.6666,-52.7314,61.29,88,100,8.05,light intensity drizzle
84,Bredasdorp,ZA,-34.5322,20.0403,53.94,82,100,5.95,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,12.66,few clouds
86,Juba,SS,4.8517,31.5825,69.26,95,100,0.81,light rain
87,La Ronge,CA,55.1001,-105.2842,84.42,45,20,6.91,few clouds
88,Sioux Lookout,CA,50.1001,-91.917,71.67,40,20,5.75,few clouds
89,Quatre Cocos,MU,-20.2078,57.7625,68.11,65,86,16.53,overcast clouds
90,Beringovskiy,RU,63.05,179.3167,53.1,83,100,14.05,overcast clouds
91,Dalgopol,BG,43.05,27.35,73.78,47,18,4.25,few clouds
92,Korla,CN,41.7597,86.1469,85.41,29,48,16.67,scattered clouds
